" Estimated U.S. sales of organic and total fluid milk products, monthly and annual, 2006-13 1/ ",,,,,,,,,,,,,,,
,Year, January , February , March , April , May , June , July , August , Sept. , October , November , December , Jan- , Annual 
,, Sales , Sales , Sales , Sales , Sales , Sales , Sales , Sales , Sales , Sales , Sales , Sales , Dec , change 
,, (Mil lbs) , (Mil lbs) , (Mil lbs) , (Mil lbs) , (Mil lbs) , (Mil lbs) , (Mil lbs) , (Mil lbs) , (Mil lbs) , (Mil lbs) , (Mil lbs) , (Mil lbs) , (Mil lbs) , (%) 
 Total Organic Milk Products ,2013,189,162,186,191,195,179,189,195,192,194,193,199,"2,264",5
 Total Fluid Milk Products Adj.*  ,NA,"4,572","4,120","4,386","4,337","4,347","3,859","4,068","4,350","4,326","4,496","4,390","4,394","51,645",-2
 Organic milk/Total milk (%) ,NA,4.13,3.93,4.24,4.4,4.49,4.64,4.65,4.48,4.44,4.31,4.4,4.53,4.38,
 Total Organic Milk Products ,2012,193,176,185,169,181,170,164,187,174,194,191,174,"2,158",4
 Total Fluid Milk Products Adj.  ,NA,"4,694","4,162","4,537","4,340","4,391","4,072","4,136","4,420","4,404","4,618","4,478","4,496","52,748",-2
 Organic milk/Total milk (%) ,NA,4.11,4.23,4.08,3.89,4.12,4.17,3.97,4.23,3.95,4.2,4.27,3.87,4.09,
 Total Organic Milk Products ,2011,171,157,183,170,172,163,167,171,182,179,176,182,"2,073",14
 Total Fluid Milk Products Adj.  ,NA,"4,814","4,278","4,683","4,411","4,500","4,129","4,195","4,458","4,474","4,653","4,553","4,575","53,723",-1
 Organic milk/Total milk (%) ,NA,3.55,3.67,3.91,3.85,3.82,3.95,3.98,3.84,4.07,3.85,3.87,3.98,3.86,   
 Total Organic Milk Products ,2010,138,125,151,142,144,148,151,158,167,159,159,169,"1,811",13
 Total Fluid Milk Products Adj.  ,NA,"4,819","4,357","4,729","4,515","4,584","4,181","4,261","4,509","4,579","4,714","4,521","4,759","54,528",-2
 Organic milk/Total milk (%) ,NA,2.86,2.87,3.19,3.15,3.14,3.54,3.54,3.5,3.65,3.37,3.52,3.55,3.32,
 Total Organic Milk Products ,2009,133,125,144,126,127,132,133,133,139,138,135,137,"1,602",-4
 Total Fluid Milk Products Adj. ,NA,"4,817","4,369","4,845","4,601","4,613","4,269","4,369","4,611","4,626","4,800","4,679","4,847","55,446",1
 Organic milk/Total milk (%) ,NA,2.76,2.86,2.97,2.74,2.75,3.09,3.04,2.88,3,2.88,2.89,2.83,2.89,
 Total Organic Milk Products ,2008,142,145,143,134,138,133,129,142,143,144,133,150,"1,676",19
 Total Fluid Milk Products Adj.  ,NA,"4,811","4,287","4,728","4,556","4,599","4,254","4,282","4,572","4,581","4,812","4,656","4,829","54,967",0
 Organic milk/Total milk (%) ,NA,2.95,3.38,3.02,2.94,3,3.13,3.01,3.11,3.12,2.99,2.86,3.11,3.05,
 Total Organic Milk Products ,2007,114,103,112,108,110,115,111,126,120,134,132,127,"1,412",33
 Total Fluid Milk Products Adj.  ,NA,"4,858","4,371","4,762","4,586","4,587","4,263","4,310","4,558","4,567","4,779","4,630","4,778","55,049",0
 Organic milk/Total milk (%) ,NA,2.35,2.36,2.35,2.35,2.4,2.7,2.58,2.76,2.63,2.8,2.85,2.66,2.56,
 Total Organic Milk Products ,2006,83,66,86,81,95,95,84,90,90,99,97,96,"1,062",
 Total Fluid Milk Products Adj. ,NA,"4,806","4,313","4,774","4,487","4,626","4,297","4,368","4,608","4,632","4,827","4,712","4,801","55,251",   
 Organic milk/Total milk (%) ,NA,1.73,1.53,1.8,1.81,2.05,2.21,1.92,1.95,1.94,2.05,2.06,2,1.92,
" 1/ These figures are based on the consumption of fluid milk products in Federal milk order marketing areas and California, which represents approximately 92 percent of total fluid  ",,,,,,,,,,,,,,,
      milk sales in the United States; an estimate of total U.S. fluid milk sales is derived by interpolating the remaining 8 percent of sales from the Federal milk order and California data.    ,,,,,,,,,,,,,,,
     Total fluid milk products include the products listed plus miscellaneous products and eggnog. ,,,,,,,,,,,,,,,
 *  AMS adjusts sales volumes of total fluid milk products for calendar composition; 2013 sales volume estimates have not yet been adjusted. ,,,,,,,,,,,,,,,
" SOURCE: AMS-USDA, Federal Milk Market Order statistics, www.ams.usda.gov ",,,,,,,,,,,,,,,
